,Start,End,DeltaBz,Duration
0,2017-06-27 22:42:33.250,2017-06-27 22:42:35.250,-3.0037494,2.0
1,2017-06-28 08:21:07.750,2017-06-28 08:21:15.750,-2.6592257,8.0
2,2017-06-28 08:26:24.250,2017-06-28 08:26:29.250,-3.66909,5.0
3,2017-06-28 15:24:52.250,2017-06-28 15:24:57.250,-2.0778587,5.0
4,2017-06-28 16:19:18.750,2017-06-28 16:19:22.250,-5.5218167,3.5
5,2017-06-28 16:20:13.250,2017-06-28 16:20:20.750,-5.823559,7.5
6,2017-06-28 16:25:29.750,2017-06-28 16:25:37.750,1.8030863,8.0
7,2017-06-28 16:32:21.250,2017-06-28 16:32:28.250,-6.378635,7.0
8,2017-07-04 06:55:30.250,2017-07-04 06:55:32.250,-1.8401384,2.0
9,2017-07-04 16:57:33.750,2017-07-04 16:57:51.750,12.209097,18.0
10,2017-07-06 00:56:10.250,2017-07-06 00:56:13.250,3.2967408,3.0
11,2017-07-06 00:56:13.250,2017-07-06 00:56:15.250,-7.938196,2.0
12,2017-07-06 00:57:11.250,2017-07-06 00:57:13.250,-2.0159767,2.0
13,2017-07-06 00:57:29.750,2017-07-06 00:57:32.750,-2.6178968,3.0
14,2017-07-06 05:52:50.250,2017-07-06 05:52:59.250,1.9010816,9.0
15,2017-07-06 05:53:08.250,2017-07-06 05:53:12.750,-1.9481351,4.5
16,2017-07-06 06:24:45.250,2017-07-06 06:24:46.750,-2.151598,1.5
17,2017-07-06 06:26:38.250,2017-07-06 06:26:48.250,-7.923105,10.0
18,2017-07-06 07:41:01.250,2017-07-06 07:41:21.750,-1.730459,20.5
19,2017-07-06 08:21:55.750,2017-07-06 08:21:58.750,-5.3845186,3.0
20,2017-07-06 08:22:36.750,2017-07-06 08:22:40.250,3.8636212,3.5
21,2017-07-06 08:22:55.750,2017-07-06 08:22:57.750,-4.9085665,2.0
22,2017-07-06 08:30:11.250,2017-07-06 08:30:15.750,4.752815,4.5
23,2017-07-06 08:33:09.250,2017-07-06 08:33:09.750,1.2037333,0.5
24,2017-07-06 08:33:53.250,2017-07-06 08:33:55.250,-4.0384398,2.0
25,2017-07-06 08:34:10.250,2017-07-06 08:34:11.750,-5.328082,1.5
26,2017-07-06 08:36:18.750,2017-07-06 08:36:20.750,-6.1788435,2.0
27,2017-07-06 08:39:21.750,2017-07-06 08:39:22.750,-3.4880962,1.0
28,2017-07-06 09:14:10.750,2017-07-06 09:14:16.750,2.8833551,6.0
29,2017-07-06 09:17:40.750,2017-07-06 09:17:58.750,8.547634,18.0
30,2017-07-06 13:39:42.250,2017-07-06 13:39:46.750,-5.761989,4.5
31,2017-07-06 13:41:39.750,2017-07-06 13:41:45.750,8.046244,6.0
32,2017-07-06 14:41:37.250,2017-07-06 14:41:43.250,-3.3896773,6.0
33,2017-07-06 15:30:30.250,2017-07-06 15:30:35.250,-4.2834797,5.0
34,2017-07-06 15:30:40.250,2017-07-06 15:30:43.250,6.5887346,3.0
35,2017-07-06 15:31:21.250,2017-07-06 15:31:23.750,14.783394,2.5
36,2017-07-06 15:32:00.750,2017-07-06 15:32:07.250,4.8134146,6.5
37,2017-07-06 15:32:42.750,2017-07-06 15:32:47.250,-2.8115888,4.5
38,2017-07-06 15:37:22.750,2017-07-06 15:37:24.750,5.7581673,2.0
39,2017-07-06 15:37:51.750,2017-07-06 15:37:54.750,-6.1338224,3.0
40,2017-07-06 15:39:04.750,2017-07-06 15:39:06.750,7.506614,2.0
41,2017-07-06 15:49:26.250,2017-07-06 15:49:34.250,5.7445936,8.0
42,2017-07-06 15:54:23.250,2017-07-06 15:54:33.250,3.8221822,10.0
43,2017-07-06 15:56:07.750,2017-07-06 15:56:16.250,2.2259572,8.5
44,2017-07-06 15:57:49.250,2017-07-06 15:57:54.750,6.9583225,5.5
45,2017-07-06 15:58:05.250,2017-07-06 15:58:06.250,-6.5695524,1.0
46,2017-07-06 16:09:13.250,2017-07-06 16:09:22.250,2.9016376,9.0
47,2017-07-06 16:11:04.250,2017-07-06 16:11:05.750,6.36231,1.5
48,2017-07-06 16:12:04.750,2017-07-06 16:12:06.750,-7.846445,2.0
49,2017-07-06 16:13:00.750,2017-07-06 16:13:04.250,-2.9202228,3.5
50,2017-07-06 16:16:45.750,2017-07-06 16:16:47.750,-7.0551124,2.0
51,2017-07-06 16:18:48.750,2017-07-06 16:18:53.250,4.2877417,4.5
52,2017-07-06 16:20:28.250,2017-07-06 16:20:37.750,3.3247085,9.5
53,2017-07-06 16:21:56.250,2017-07-06 16:21:58.750,-5.2328434,2.5
54,2017-07-06 16:34:14.250,2017-07-06 16:34:17.750,4.1423817,3.5
55,2017-07-06 16:35:51.750,2017-07-06 16:36:04.250,2.1415036,12.5
56,2017-07-06 16:42:27.250,2017-07-06 16:42:43.750,11.818162,16.5
57,2017-07-06 16:43:32.750,2017-07-06 16:43:35.250,6.881456,2.5
58,2017-07-06 16:43:58.250,2017-07-06 16:44:06.250,3.2091591,8.0
59,2017-07-06 16:46:22.750,2017-07-06 16:46:35.250,-15.208992,12.5
60,2017-07-06 16:54:03.250,2017-07-06 16:54:05.750,2.1721516,2.5
61,2017-07-06 17:00:46.250,2017-07-06 17:00:50.750,-9.572182,4.5
62,2017-07-06 17:01:11.250,2017-07-06 17:01:13.250,-3.5452752,2.0
63,2017-07-06 17:02:31.750,2017-07-06 17:02:33.750,-2.7962658,2.0
64,2017-07-06 17:04:49.750,2017-07-06 17:04:55.750,-7.2365522,6.0
65,2017-07-06 17:10:57.250,2017-07-06 17:11:12.750,7.170122,15.5
66,2017-07-06 17:23:13.250,2017-07-06 17:23:16.250,10.094137,3.0
67,2017-07-06 17:49:01.250,2017-07-06 17:49:02.750,1.8951417,1.5
68,2017-07-06 19:38:47.250,2017-07-06 19:38:52.750,3.1128502,5.5
69,2017-07-06 19:39:30.750,2017-07-06 19:39:32.750,-3.0482607,2.0
70,2017-07-06 20:28:03.250,2017-07-06 20:28:05.750,-2.0322075,2.5
71,2017-07-06 21:50:26.250,2017-07-06 21:50:31.250,6.941908,5.0
72,2017-07-06 21:50:47.250,2017-07-06 21:50:51.750,1.1987427,4.5
73,2017-07-06 22:45:40.750,2017-07-06 22:45:47.250,-2.510971,6.5
74,2017-07-06 23:55:27.750,2017-07-06 23:55:51.250,8.682341,23.5
75,2017-07-06 23:55:51.250,2017-07-06 23:55:57.750,-3.8698182,6.5
76,2017-07-07 22:17:17.250,2017-07-07 22:17:31.250,12.213358,14.0
77,2017-07-09 10:42:16.750,2017-07-09 10:42:21.750,-2.3032374,5.0
78,2017-07-09 10:48:56.250,2017-07-09 10:49:07.750,23.288752,11.5
79,2017-07-09 19:34:28.250,2017-07-09 19:34:42.250,5.5586576,14.0
80,2017-07-11 22:35:57.250,2017-07-11 22:36:01.750,-4.679961,4.5
81,2017-07-11 23:45:09.250,2017-07-11 23:45:12.250,-7.328998,3.0
82,2017-07-11 23:45:17.250,2017-07-11 23:45:20.750,18.565182,3.5
83,2017-07-11 23:47:26.250,2017-07-11 23:47:45.750,-3.258343,19.5
84,2017-07-12 08:09:09.750,2017-07-12 08:09:13.250,4.921381,3.5
85,2017-07-12 11:53:45.750,2017-07-12 11:53:57.250,-1.1249031,11.5
86,2017-07-12 14:43:05.250,2017-07-12 14:43:11.750,9.826555,6.5
87,2017-07-12 14:43:46.250,2017-07-12 14:43:49.750,6.9111657,3.5
88,2017-07-12 15:03:52.250,2017-07-12 15:04:12.750,4.0699844,20.5
89,2017-07-13 10:52:47.750,2017-07-13 10:53:01.250,2.5407872,13.5
90,2017-07-14 17:32:35.250,2017-07-14 17:32:47.750,4.6700883,12.5
91,2017-07-14 17:39:01.250,2017-07-14 17:39:10.250,-3.7048697,9.0
92,2017-07-15 20:16:50.250,2017-07-15 20:16:56.750,-4.9369097,6.5
93,2017-07-17 03:11:19.250,2017-07-17 03:11:29.250,-15.44054,10.0
94,2017-07-17 07:32:28.250,2017-07-17 07:32:46.250,13.307034,18.0
95,2017-07-17 07:52:58.250,2017-07-17 07:53:19.750,10.568596,21.5
96,2017-07-17 10:32:19.750,2017-07-17 10:32:24.250,15.468697,4.5
97,2017-07-17 14:43:38.750,2017-07-17 14:43:42.750,-3.4976757,4.0
98,2017-07-17 14:58:17.250,2017-07-17 14:58:23.750,12.662476,6.5
99,2017-07-17 14:59:57.250,2017-07-17 15:00:02.250,-4.5666256,5.0
100,2017-07-17 15:00:39.250,2017-07-17 15:00:42.750,-4.345527,3.5
101,2017-07-17 15:01:03.750,2017-07-17 15:01:13.250,-3.6833596,9.5
