,Start,End,DeltaBz,Duration,MeanVx
0,2017-06-28 08:21:07.750,2017-06-28 08:21:15.750,-2.6592257,8.0,253.2971649169922
1,2017-06-28 15:24:52.250,2017-06-28 15:24:57.250,-2.0778587,5.0,133.70362854003906
2,2017-06-28 16:19:18.750,2017-06-28 16:19:22.250,-5.5218167,3.5,259.7807312011719
3,2017-06-28 16:20:13.250,2017-06-28 16:20:20.750,-5.823559,7.5,179.97276306152344
4,2017-06-28 16:32:21.250,2017-06-28 16:32:28.250,-6.378635,7.0,359.6478576660156
5,2017-07-06 00:56:13.250,2017-07-06 00:56:15.250,-7.938196,2.0,950.462890625
6,2017-07-06 00:57:11.250,2017-07-06 00:57:13.250,-2.0159767,2.0,564.238037109375
7,2017-07-06 06:26:38.250,2017-07-06 06:26:48.250,-7.923105,10.0,30.9821720123291
8,2017-07-06 08:21:55.750,2017-07-06 08:21:58.750,-5.3845186,3.0,964.8221435546876
9,2017-07-06 08:33:53.250,2017-07-06 08:33:55.250,-4.0384398,2.0,737.0040283203125
10,2017-07-06 08:34:10.250,2017-07-06 08:34:11.750,-5.328082,1.5,861.2981567382812
11,2017-07-06 13:41:39.750,2017-07-06 13:41:45.750,8.046244,6.0,-581.3665771484375
12,2017-07-06 14:41:37.250,2017-07-06 14:41:43.250,-3.3896773,6.0,483.3224792480469
13,2017-07-06 15:30:40.250,2017-07-06 15:30:43.250,6.5887346,3.0,-539.8833618164062
14,2017-07-06 15:31:21.250,2017-07-06 15:31:23.750,14.783394,2.5,-872.2648315429688
15,2017-07-06 15:32:00.750,2017-07-06 15:32:07.250,4.8134146,6.5,-627.8732299804688
16,2017-07-06 15:37:22.750,2017-07-06 15:37:24.750,5.7581673,2.0,-650.5094604492188
17,2017-07-06 15:39:04.750,2017-07-06 15:39:06.750,7.506614,2.0,-665.9166259765625
18,2017-07-06 16:12:04.750,2017-07-06 16:12:06.750,-7.846445,2.0,829.9495239257812
19,2017-07-06 16:16:45.750,2017-07-06 16:16:47.750,-7.0551124,2.0,687.8055419921875
20,2017-07-06 16:46:22.750,2017-07-06 16:46:35.250,-15.208992,12.5,172.1045684814453
21,2017-07-06 17:00:46.250,2017-07-06 17:00:50.750,-9.572182,4.5,406.6089782714844
22,2017-07-06 17:01:11.250,2017-07-06 17:01:13.250,-3.5452752,2.0,343.1249389648437
23,2017-07-09 10:42:16.750,2017-07-09 10:42:21.750,-2.3032374,5.0,298.8710021972656
24,2017-07-09 19:34:28.250,2017-07-09 19:34:42.250,5.5586576,14.0,-250.18467712402344
25,2017-07-11 23:45:17.250,2017-07-11 23:45:20.750,18.565182,3.5,-429.4329528808594
26,2017-07-12 08:09:09.750,2017-07-12 08:09:13.250,4.921381,3.5,-222.8993225097656
27,2017-07-12 14:43:05.250,2017-07-12 14:43:11.750,9.826555,6.5,-296.5666198730469
28,2017-07-12 14:43:46.250,2017-07-12 14:43:49.750,6.9111657,3.5,-343.3124084472656
29,2017-07-12 15:03:52.250,2017-07-12 15:04:12.750,4.0699844,20.5,-256.6504211425781
30,2017-07-17 07:32:28.250,2017-07-17 07:32:46.250,13.307034,18.0,-265.1478576660156
31,2017-07-17 10:32:19.750,2017-07-17 10:32:24.250,15.468697,4.5,-112.30036926269533
32,2017-07-17 14:59:57.250,2017-07-17 15:00:02.250,-4.5666256,5.0,478.5611572265625
33,2017-07-17 15:00:39.250,2017-07-17 15:00:42.750,-4.345527,3.5,390.6702880859375
34,2017-07-18 00:59:52.250,2017-07-18 01:00:05.250,6.527582,13.0,-306.8266906738281
35,2017-07-18 20:01:43.750,2017-07-18 20:01:45.750,-3.1112921,2.0,235.4412078857422
36,2017-07-20 16:45:50.250,2017-07-20 16:45:57.250,5.150775,7.0,-168.16476440429688
37,2017-07-20 16:47:22.750,2017-07-20 16:47:32.750,4.106657,10.0,-171.20361328125
38,2017-07-23 00:15:51.250,2017-07-23 00:16:08.250,-3.113864,17.0,283.2178039550781
39,2017-07-23 12:25:13.750,2017-07-23 12:25:28.250,-10.951199,14.5,148.91558837890625
40,2017-07-23 16:34:22.250,2017-07-23 16:34:31.250,-4.2544622,9.0,157.9013214111328
41,2017-07-23 16:49:51.750,2017-07-23 16:49:54.750,-2.830572,3.0,254.4452667236328
42,2017-07-23 19:30:44.250,2017-07-23 19:30:49.750,13.954744,5.5,-518.8540649414062
43,2017-07-26 00:01:04.250,2017-07-26 00:01:09.250,7.6352057,5.0,-360.0574645996094
