,Start,End,DeltaBz,Duration
0,2017-05-08 06:27:05.250,2017-05-08 06:27:15.250,15.433157,10.0
1,2017-05-08 06:42:43.750,2017-05-08 06:42:51.250,7.9019494,7.5
2,2017-05-19 13:55:44.750,2017-05-19 13:55:56.750,-7.6192064,12.0
3,2017-05-19 18:37:46.750,2017-05-19 18:37:55.750,6.1399937,9.0
4,2017-05-19 18:39:27.250,2017-05-19 18:39:28.250,-1.5447515,1.0
5,2017-05-22 08:22:30.250,2017-05-22 08:22:33.750,-3.69014,3.5
6,2017-05-22 08:54:03.750,2017-05-22 08:54:06.250,3.429161,2.5
7,2017-06-19 03:47:20.250,2017-06-19 03:47:30.750,10.541893,10.5
8,2017-06-19 09:43:59.250,2017-06-19 09:44:02.750,2.64763,3.5
9,2017-06-24 22:37:40.750,2017-06-24 22:37:45.750,-4.0454326,5.0
10,2017-06-25 03:41:02.250,2017-06-25 03:41:07.250,-1.9487956,5.0
11,2017-06-25 04:09:46.750,2017-06-25 04:09:50.750,-7.3277617,4.0
12,2017-06-25 04:10:27.250,2017-06-25 04:10:30.750,-3.9464211,3.5
13,2017-06-25 04:36:49.250,2017-06-25 04:36:54.750,5.5025897,5.5
14,2017-06-25 04:42:09.250,2017-06-25 04:42:14.250,4.972368,5.0
15,2017-06-25 04:43:15.250,2017-06-25 04:43:26.750,14.318287,11.5
16,2017-06-25 05:10:24.250,2017-06-25 05:10:33.250,-16.422209,9.0
17,2017-06-25 15:43:19.250,2017-06-25 15:43:26.250,1.8185369,7.0
18,2017-06-26 00:01:41.750,2017-06-26 00:01:50.250,8.064658,8.5
19,2017-06-27 22:41:12.250,2017-06-27 22:41:15.250,1.8132776,3.0
20,2017-06-27 22:45:29.750,2017-06-27 22:45:31.750,-4.829275,2.0
21,2017-06-27 23:14:55.750,2017-06-27 23:15:02.750,4.437691,7.0
22,2017-06-27 23:16:25.250,2017-06-27 23:16:35.750,5.59817,10.5
23,2017-06-28 04:04:25.250,2017-06-28 04:04:45.250,7.4877305,20.0
24,2017-06-28 08:11:59.750,2017-06-28 08:12:14.250,-4.0985575,14.5
25,2017-06-28 08:19:44.750,2017-06-28 08:19:57.250,10.199816,12.5
26,2017-06-28 15:51:26.250,2017-06-28 15:51:29.750,4.4250836,3.5
27,2017-06-28 16:14:00.750,2017-06-28 16:14:07.750,7.394306,7.0
28,2017-06-28 17:04:29.250,2017-06-28 17:04:36.250,-15.21563,7.0
29,2017-06-28 17:18:27.750,2017-06-28 17:18:32.250,2.0982945,4.5
30,2017-07-04 04:20:19.750,2017-07-04 04:20:31.750,2.2349963,12.0
31,2017-07-04 04:27:12.750,2017-07-04 04:27:20.750,8.513515,8.0
32,2017-07-04 14:21:40.250,2017-07-04 14:21:52.250,-7.7728376,12.0
33,2017-07-04 14:34:49.250,2017-07-04 14:34:59.250,4.194641,10.0
34,2017-07-04 15:37:00.750,2017-07-04 15:37:05.250,-2.1668038,4.5
35,2017-07-04 15:49:58.250,2017-07-04 15:50:03.250,6.5103064,5.0
36,2017-07-04 16:36:49.250,2017-07-04 16:37:14.250,7.230647,25.0
37,2017-07-04 16:54:58.250,2017-07-04 16:55:06.250,3.277032,8.0
38,2017-07-04 17:00:47.750,2017-07-04 17:00:50.250,-5.1088014,2.5
39,2017-07-04 17:03:12.250,2017-07-04 17:03:15.750,-6.5681143,3.5
40,2017-07-06 00:57:32.750,2017-07-06 00:57:36.250,3.490341,3.5
41,2017-07-06 01:58:14.250,2017-07-06 01:58:31.250,10.808706,17.0
42,2017-07-06 02:05:59.250,2017-07-06 02:06:03.750,-8.084094,4.5
43,2017-07-06 02:10:41.250,2017-07-06 02:10:45.250,-5.5491962,4.0
44,2017-07-06 06:26:12.750,2017-07-06 06:26:34.750,6.204482,22.0
45,2017-07-06 06:28:15.750,2017-07-06 06:28:19.750,-3.1143324,4.0
46,2017-07-06 06:28:28.250,2017-07-06 06:28:33.250,5.4881487,5.0
47,2017-07-06 07:38:05.750,2017-07-06 07:38:14.750,2.7135997,9.0
48,2017-07-06 07:38:23.250,2017-07-06 07:38:25.250,1.5656734,2.0
49,2017-07-06 08:19:02.250,2017-07-06 08:19:05.750,-4.1403437,3.5
50,2017-07-06 08:19:20.750,2017-07-06 08:19:23.250,2.6961868,2.5
51,2017-07-06 08:19:53.250,2017-07-06 08:19:54.750,4.219678,1.5
52,2017-07-06 08:19:54.750,2017-07-06 08:19:56.750,-5.0719056,2.0
53,2017-07-06 08:20:01.750,2017-07-06 08:20:04.750,5.913369,3.0
54,2017-07-06 08:21:26.250,2017-07-06 08:21:27.750,13.316108,1.5
55,2017-07-06 08:31:27.250,2017-07-06 08:31:29.750,-9.042941,2.5
56,2017-07-06 09:01:49.750,2017-07-06 09:01:52.750,-6.2739954,3.0
57,2017-07-06 11:26:52.750,2017-07-06 11:26:55.750,8.669456,3.0
58,2017-07-06 11:36:09.750,2017-07-06 11:36:26.250,2.4606137,16.5
59,2017-07-06 13:41:01.250,2017-07-06 13:41:05.750,6.611203,4.5
60,2017-07-06 13:41:35.250,2017-07-06 13:41:38.750,-8.081366,3.5
61,2017-07-06 13:41:50.750,2017-07-06 13:41:51.750,-2.387553,1.0
62,2017-07-06 14:37:17.750,2017-07-06 14:37:25.250,-3.383561,7.5
63,2017-07-06 14:42:29.750,2017-07-06 14:42:35.750,-3.812941,6.0
64,2017-07-06 14:44:22.250,2017-07-06 14:44:23.750,-3.4378111,1.5
65,2017-07-06 14:49:58.750,2017-07-06 14:50:06.250,-2.3773112,7.5
66,2017-07-06 15:21:59.750,2017-07-06 15:22:01.250,5.421361,1.5
67,2017-07-06 15:29:44.250,2017-07-06 15:29:47.750,-2.7576447,3.5
68,2017-07-06 15:30:38.750,2017-07-06 15:30:40.250,-6.459646,1.5
69,2017-07-06 15:30:46.750,2017-07-06 15:30:47.750,-11.492664,1.0
70,2017-07-06 15:32:29.250,2017-07-06 15:32:31.250,-15.159667,2.0
71,2017-07-06 15:35:36.750,2017-07-06 15:35:43.250,5.09445,6.5
72,2017-07-06 15:38:56.250,2017-07-06 15:38:58.250,3.7375183,2.0
73,2017-07-06 15:40:07.750,2017-07-06 15:40:18.250,15.609829,10.5
74,2017-07-06 15:44:45.250,2017-07-06 15:44:47.250,-6.3680463,2.0
75,2017-07-06 15:45:22.250,2017-07-06 15:45:25.750,-11.253172,3.5
76,2017-07-06 15:46:00.750,2017-07-06 15:46:04.250,4.3860674,3.5
77,2017-07-06 15:52:41.250,2017-07-06 15:52:47.750,-3.8303683,6.5
78,2017-07-06 15:54:50.750,2017-07-06 15:54:55.250,-4.069687,4.5
79,2017-07-06 16:01:49.250,2017-07-06 16:01:52.250,-6.463763,3.0
80,2017-07-06 16:12:20.750,2017-07-06 16:12:23.250,-2.0452423,2.5
81,2017-07-06 16:16:07.250,2017-07-06 16:16:09.750,7.5120177,2.5
82,2017-07-06 16:16:33.250,2017-07-06 16:16:35.750,7.2203665,2.5
83,2017-07-06 16:23:53.250,2017-07-06 16:23:56.750,-4.555036,3.5
84,2017-07-06 16:26:20.750,2017-07-06 16:26:26.250,-4.921211,5.5
85,2017-07-06 16:35:13.750,2017-07-06 16:35:15.750,2.4699545,2.0
86,2017-07-06 16:35:28.750,2017-07-06 16:35:33.250,-2.3195982,4.5
87,2017-07-06 16:35:38.250,2017-07-06 16:35:40.750,2.2091975,2.5
88,2017-07-06 16:36:59.250,2017-07-06 16:37:00.250,1.7371526,1.0
89,2017-07-06 16:58:13.750,2017-07-06 16:58:24.750,-3.2984447,11.0
90,2017-07-06 17:00:43.750,2017-07-06 17:00:46.250,9.258928,2.5
91,2017-07-06 17:36:31.750,2017-07-06 17:36:35.250,-2.913907,3.5
92,2017-07-06 17:52:00.250,2017-07-06 17:52:24.750,6.600171,24.5
93,2017-07-06 19:03:29.750,2017-07-06 19:03:40.750,1.9593804,11.0
94,2017-07-06 19:04:54.250,2017-07-06 19:05:11.750,6.3200674,17.5
95,2017-07-06 19:08:20.250,2017-07-06 19:08:32.750,2.6119165,12.5
96,2017-07-06 19:50:15.250,2017-07-06 19:50:18.250,-7.531259,3.0
97,2017-07-06 19:51:55.250,2017-07-06 19:52:06.250,5.749082,11.0
98,2017-07-06 20:17:50.250,2017-07-06 20:18:03.750,10.380535,13.5
99,2017-07-06 20:19:10.750,2017-07-06 20:19:15.750,10.782494,5.0
100,2017-07-06 20:19:17.750,2017-07-06 20:19:21.750,-6.563895,4.0
101,2017-07-06 20:25:52.750,2017-07-06 20:25:55.750,-12.034891,3.0
102,2017-07-06 20:29:35.250,2017-07-06 20:29:39.750,-6.4602795,4.5
103,2017-07-06 21:07:53.250,2017-07-06 21:08:03.250,6.2869177,10.0
104,2017-07-06 21:08:56.250,2017-07-06 21:09:12.250,10.926802,16.0
105,2017-07-06 21:09:12.250,2017-07-06 21:09:23.250,-7.6273646,11.0
106,2017-07-06 21:50:34.750,2017-07-06 21:50:47.250,-2.7860043,12.5
107,2017-07-06 21:52:58.250,2017-07-06 21:53:00.250,-0.8779113,2.0
108,2017-07-06 22:40:35.250,2017-07-06 22:40:39.750,-17.574923,4.5
109,2017-07-06 22:46:04.750,2017-07-06 22:46:12.250,-8.4517,7.5
110,2017-07-07 00:20:03.250,2017-07-07 00:20:14.250,3.6385067,11.0
111,2017-07-08 21:53:52.750,2017-07-08 21:53:58.250,-2.3450024,5.5
